ingest_date,district,bedrooms,currency,listing_count,avg_price,median_price,min_price,max_price,avg_area_m2,median_price_per_m2,new_listing_count,removed_listing_count,price_changed_count,offer_change_pct,calculated_at
2026-07-14,Covida,2,PEN,1,1400,1400,1400,1400,70,20,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,El Agustino,2,PEN,1,1350,1350,1350,1350,59,22.88,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,El Asesor,2,PEN,1,1050,1050,1050,1050,75,14,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,El Parque Naranjal,4,PEN,1,1650,1650,1650,1650,115,14.35,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,El Pinar,2,PEN,1,142000,142000,142000,142000,52,2730.77,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,El Retablo,2,PEN,1,920,920,920,920,50,18.4,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,El Retablo,3,PEN,2,850,800,800,900,55,14.55,2,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,El Rosal,2,PEN,1,2400,2400,2400,2400,48,50,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,El Rosario,1,PEN,1,3200,3200,3200,3200,45,71.11,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,El Silencio,4,PEN,1,5000,5000,5000,5000,170,29.41,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,El Sol De Chorrillos,1,PEN,1,1530,1530,1530,1530,39,39.23,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,El Sol De La Molina Et.1,1,PEN,1,1500,1500,1500,1500,35,42.86,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Far West Villas,4,PEN,1,3000,3000,3000,3000,140,21.43,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Higuereta,3,PEN,1,3980,3980,3980,3980,119,33.45,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Honor Y Lealtad,3,PEN,1,1800,1800,1800,1800,120,15,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Independencia,1,PEN,2,800,750,750,850,33,22.73,2,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Independencia,2,PEN,2,1525,1400,1400,1650,82,12.73,2,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Independencia,3,PEN,1,1199,1199,1199,1199,75,15.99,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Ingeniero Antunez De Mayolo,3,PEN,1,2600,2600,2600,2600,115,22.61,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Isla Verde,2,PEN,1,2600,2600,2600,2600,80,32.5,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Jardines De Aramburu,3,PEN,1,2990,2990,2990,2990,78,38.33,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Javier Prado,1,PEN,2,1225,1200,1200,1250,29,32.89,2,0,0,null,2026-07-14T01:25:15.299954Z
